card_id,transaction_date,merchant_name,category,amount,location_type
12,2025-11-08,Pizza Place,dining,50.18,
12,2025-11-01,Uber,transport,12.03,
12,2026-06-02,Amazon Electronics,electronics,764.24,
12,2025-11-26,Delta Airlines,travel,676.98,airport
12,2025-09-20,United Airlines,travel,844.98,airport
12,2026-07-17,Uber,transport,30.58,
12,2026-01-26,Apple Store,electronics,1176.25,
12,2026-07-12,Apple Store,electronics,978.02,
12,2025-09-01,Amazon Electronics,electronics,1228.6,
12,2026-03-29,Hilton Hotel,travel,502.66,
12,2026-05-22,Lyft,transport,10.58,
12,2025-08-21,Amazon Electronics,electronics,1897.78,
12,2025-09-20,Uber,transport,29.47,
12,2025-12-09,Best Buy,electronics,680.25,
12,2026-05-02,Hilton Hotel,travel,783.52,
12,2026-06-25,Delta Airlines,travel,849.48,airport
12,2026-06-25,United Airlines,travel,829.32,airport
12,2025-10-21,Lyft,transport,42.32,
12,2025-12-05,City Metro,transport,45.13,
12,2026-04-04,Starbucks,dining,32.34,
12,2026-06-08,Apple Store,electronics,794.82,
12,2026-02-24,Hilton Hotel,travel,381.14,
12,2025-11-09,Best Buy,electronics,1785.67,
12,2026-02-04,Best Buy,electronics,1651.88,
12,2025-11-16,Best Buy,electronics,392.53,
12,2026-04-06,Apple Store,electronics,384.69,
12,2025-10-13,Starbucks,dining,21.88,
12,2025-12-09,Apple Store,electronics,1063.2,
12,2026-01-26,Pizza Place,dining,58.82,
12,2025-10-28,City Metro,transport,9.36,
12,2026-01-17,City Metro,transport,47.52,
12,2026-03-12,Delta Airlines,travel,184.44,airport
12,2026-06-26,Hilton Hotel,travel,653.08,
12,2025-09-10,City Metro,transport,18.46,
12,2026-03-12,Delta Airlines,travel,686.47,airport
13,2026-01-31,United Airlines,travel,296.48,airport
13,2025-10-24,Best Buy,electronics,1348.07,
13,2025-09-11,Olive Garden,dining,10.55,
13,2026-06-08,Local Diner,dining,12.63,
13,2026-04-21,Hilton Hotel,travel,153.1,
13,2025-08-01,United Airlines,travel,385.27,airport
13,2026-07-24,Pizza Place,dining,32.7,
13,2026-02-13,Starbucks,dining,36.9,
13,2026-03-11,United Airlines,travel,825.93,airport
13,2026-06-26,Amazon Electronics,electronics,251.1,
13,2026-07-09,Uber,transport,45.4,
13,2026-02-27,Delta Airlines,travel,544.22,airport
13,2025-08-22,Apple Store,electronics,1282.78,
13,2026-06-29,Local Diner,dining,14.67,
13,2025-08-26,Lyft,transport,11.93,
13,2025-10-31,Best Buy,electronics,679.57,
13,2025-12-30,Chipotle,dining,21.32,
13,2026-07-14,Uber,transport,26.45,
13,2026-07-16,Delta Airlines,travel,228.81,airport
13,2025-12-23,Apple Store,electronics,1238.54,
13,2025-09-12,Pizza Place,dining,43.57,
13,2026-03-23,Delta Airlines,travel,261.88,airport
13,2025-10-01,Uber,transport,20.48,
13,2025-11-19,Pizza Place,dining,39.74,
13,2026-02-05,Starbucks,dining,40.25,
13,2026-05-02,Best Buy,electronics,568.61,
13,2026-03-07,Hilton Hotel,travel,577.04,
13,2025-10-01,United Airlines,travel,816.29,airport
13,2026-05-25,United Airlines,travel,526.88,airport
13,2026-05-20,Apple Store,electronics,1150.03,
13,2026-05-13,City Metro,transport,49.0,
13,2026-06-11,Lyft,transport,44.62,
13,2026-03-03,United Airlines,travel,274.44,airport
13,2026-04-27,Lyft,transport,42.05,
13,2026-03-19,United Airlines,travel,817.34,airport
13,2025-12-05,City Metro,transport,52.63,
13,2026-05-12,Hilton Hotel,travel,723.04,
13,2026-07-13,Starbucks,dining,37.3,
13,2025-10-28,Pizza Place,dining,43.75,
13,2025-09-16,United Airlines,travel,373.17,airport
14,2026-05-01,Olive Garden,dining,52.92,
14,2025-10-18,City Metro,transport,20.32,
14,2025-11-29,Lyft,transport,26.45,
14,2025-12-20,Chipotle,dining,24.27,
14,2026-02-08,Amazon Electronics,electronics,1424.35,
14,2026-06-30,Local Diner,dining,51.28,
14,2026-01-25,Best Buy,electronics,614.77,
14,2025-11-02,Hilton Hotel,travel,208.92,
14,2025-10-17,City Metro,transport,14.01,
14,2026-04-17,United Airlines,travel,212.4,airport
14,2025-07-27,United Airlines,travel,583.93,airport
14,2026-04-29,Best Buy,electronics,185.95,
14,2026-01-17,Olive Garden,dining,54.27,
14,2026-06-01,Apple Store,electronics,1145.39,
14,2026-05-12,Best Buy,electronics,236.52,
14,2026-04-19,Amazon Electronics,electronics,571.24,
14,2026-01-14,Lyft,transport,32.9,
14,2025-10-31,City Metro,transport,33.09,
14,2025-11-04,United Airlines,travel,433.83,airport
14,2025-10-20,Best Buy,electronics,1434.25,
14,2026-05-17,Hilton Hotel,travel,865.35,
14,2026-01-13,Olive Garden,dining,32.22,
14,2026-04-24,Uber,transport,48.05,
14,2025-08-20,Best Buy,electronics,395.83,
14,2026-02-18,Amazon Electronics,electronics,1265.62,
14,2026-02-18,Uber,transport,12.58,
14,2026-02-24,Starbucks,dining,19.44,
14,2025-12-31,Lyft,transport,10.55,
14,2026-02-12,Starbucks,dining,30.83,
14,2025-08-21,United Airlines,travel,654.76,airport
14,2025-09-20,United Airlines,travel,364.61,airport
14,2025-11-28,Olive Garden,dining,18.31,
14,2026-05-07,Local Diner,dining,48.78,
14,2026-05-24,Uber,transport,17.28,
14,2026-04-04,Apple Store,electronics,739.13,
14,2026-01-21,Starbucks,dining,15.3,
14,2025-09-19,United Airlines,travel,616.26,airport
14,2026-03-13,City Metro,transport,44.55,
14,2025-11-07,Uber,transport,51.21,
14,2026-05-21,Hilton Hotel,travel,575.42,
15,2026-03-30,United Airlines,travel,248.09,airport
15,2025-11-21,Amazon Electronics,electronics,1550.74,
15,2025-10-05,Delta Airlines,travel,617.82,airport
15,2026-01-01,Delta Airlines,travel,633.81,airport
15,2026-02-05,Local Diner,dining,49.03,
15,2025-09-14,Delta Airlines,travel,539.26,airport
15,2025-09-19,Hilton Hotel,travel,695.77,
15,2026-01-26,Chipotle,dining,15.4,
15,2026-05-09,City Metro,transport,11.15,
15,2026-07-14,Starbucks,dining,35.87,
15,2025-08-10,Amazon Electronics,electronics,159.21,
15,2026-05-14,Uber,transport,34.48,
15,2025-10-26,Uber,transport,8.76,
15,2025-09-24,Apple Store,electronics,1893.02,
15,2026-05-25,Uber,transport,18.62,
15,2025-12-24,Local Diner,dining,33.05,
15,2025-09-19,Apple Store,electronics,659.36,
15,2026-01-31,Apple Store,electronics,1082.87,
15,2025-11-02,Hilton Hotel,travel,290.11,
15,2025-07-29,Uber,transport,19.82,
15,2025-12-04,Amazon Electronics,electronics,828.79,
15,2025-08-30,Apple Store,electronics,159.05,
15,2026-02-15,Chipotle,dining,58.29,
15,2026-07-22,Uber,transport,43.37,
15,2026-04-09,Hilton Hotel,travel,622.33,
15,2025-12-24,Lyft,transport,53.79,
15,2025-10-25,Amazon Electronics,electronics,1097.61,
15,2025-09-02,Starbucks,dining,34.74,
15,2026-06-05,Hilton Hotel,travel,236.24,
15,2026-02-28,Olive Garden,dining,41.34,
15,2025-12-30,City Metro,transport,9.78,
15,2026-03-24,Best Buy,electronics,1196.16,
15,2025-09-16,Hilton Hotel,travel,470.64,
15,2025-10-29,Delta Airlines,travel,719.96,airport
15,2026-05-01,Olive Garden,dining,21.96,
15,2025-10-31,Amazon Electronics,electronics,634.55,
15,2026-07-09,Chipotle,dining,18.72,
15,2026-07-14,Starbucks,dining,39.88,
15,2025-09-27,Apple Store,electronics,571.63,
15,2025-08-09,Delta Airlines,travel,275.41,airport
